"no","nama","jenis","alamat","kelurahan","kecamatan","kota","kode","no_telp","no_fax","daftar_online","web","email","lat","lng","url_bed","twitter","facebook","instagram","other_info"
109,Pademangan,Rumah Sakit Umum Kecamatan,Jl. Budi Mulia Raya No. 2 RT.0015 / RW.011,Pademangan Barat,Pademangan,Jakarta Utara,"14420","0216452346 / 0216406609","0216406609",,rsu-pademangan.co.id,rsupademangan@gmail.com,-6.133254,106.839401,infobed.rsu-pademangan.co.id,,,,
110,Kembangan,Rumah Sakit Umum Kecamatan,Jl. Topaz Blok F2  Nomor 3,Meruya Ilir,Kembangan,Jakarta Barat,"11620","5870834","5870834",,,"rsukembangan@gmail.com, rsukembangan@jakarta.go.id",-6.181012,106.733223,rsukembangan.net/board,,,,
111,Kalideres,Rumah Sakit Umum Daerah,Jl. Satu Maret No. 48  RT 001 / RW 04,Pegadungan,Kalideres,Jakarta Barat,"11830","021-22526519, 021-54390576","021-54390576",daftaronline.rsukalideres.com,rsukalideres.com,rsukalideres@jakarta.go.id,-6.128841,106.704369,infobed.rsukalideres.com,,,,SMS pengaduan: 085695045295
112,Jagakarsa,Rumah Sakit Umum Kecamatan,Jl. Mohamad Kahfi 1 No. 27A,Jagakarsa,Jagakarsa,Jakarta Selatan,"12620","7864707",,,rsujagakarsa.co.id,rsukecjagakarsa@gmail.com,-6.311328,106.813515,rsujagakarsa.co.id/informasikamar.rsujagakarsa/,,,,
113,Tebet,Rumah Sakit Umum Kecamatan,"Jl. Prof. Supomo, SH No. 54",Tebet,Tebet,Jakarta Selatan,"12810","8314955","8296918",,rsutebet.jakarta.go.id,rsutebet@gmail.com,-6.231592,106.846008,rsutebet.jakarta.go.id,,,,
114,Mampang Prapatan,Rumah Sakit Umum Kecamatan,Jl. Kapten Tendean No. 9,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,"12790","79192187",,,,,-6.240428,106.826988,Rsukmampangprapatan.jakarta.go.id/Bed_Mampang,,,,
115,Pesanggrahan,Rumah Sakit Umum Kecamatan,Jl. Cenek I No. 1,Pesanggrahan,Pesanggrahan,Jakarta Selatan,"12320","7356087",,,rsupesanggrahan.jakarta.go.id,rsupesanggrahan@jakarta.go.id,-6.258924,106.75766,Rsupesanggrahan.jakarta.go.id/KetersediaanBed.php,,,,
116,Kramat Jati,Rumah Sakit Umum Kecamatan,Jl. Raya Inpres No. 48,Kampung Tengah,Kramat Jati,Jakarta Timur,"13540","87791152, 87793604","87793604",,,rsukramatjati@jakarta.go.id,-6.28674,106.862251,rsukramatjati.jakarta.go.id/info_kamar,,,,
117,Ciracas,Rumah Sakit Umum Kecamatan,Jl. Raya Lapangan Tembak,Cibubur I,Ciracas,Jakarta Timur,"13720","87711249","8718995",,rsuciracas.jakarta.go.id,rsuciracas@gmail.com,-6.34572,106.873764,rsuciracas.jakarta.go.id/infobed,,,,
118,Pasar Minggu,Rumah Sakit Umum Daerah,Jl. TB. Simatupang No. 1,Ragunan,Pasar Minggu,Jakarta Selatan,"12520","29059999","29407035",,www.rsudpasarminggu.com,marketing@rsudpasarminggu.com,-6.293652,106.820381,www.rsudpasarminggu.com/stat-bed,twitter.com/rsudpasarminggu,www.facebook.com/pages/RSUD-Pasar-Minggu-Jakarta-Selatan/1661706080780923,,
120,Matraman,Rumah Sakit Umum Daerah,Jl. Kebon Kelapa Raya No.29,Utan Kayu Selatan,Matraman,Jakarta Timur,"13120","021-85909055, 021-8581957","021-85909055",,rsudmatraman.jakarta.go.id,rsukmatraman@jakarta.go.id,-6.20613,106.865822,,,,,
121,Taman Sari,Rumah Sakit Umum Daerah,Jl. Madu No.10,Mangga Besar,Taman Sari,Jakarta Barat,"111800","26075052","26564276",,rsuktamansari.com,rsuktamansari@gmail.com,-6.143991,106.819321,,,,,
122,Tanjung Priok,Rumah Sakit Umum Daerah,Jl. Bugis No. 3,Kebon Bawang,Tanjung Priok,JakartaUtara,"14320","021-43908923","021-43930348",,rsudtanjungpriok.co.id,humas@rsudtanjungpriok.co.id,-6.115624,106.88871,rsudtanjungpriok.co.id/infobed.php,,,,
123,Tanah Abang,Rumah Sakit Umum,"Jl.KH Mas Mansyur No.30, Kelurahan Kebon Kacang, Kecamatan Tanah Abang, Jakarta Pusat",Kebon Kacang,Tanah Abang,Jakarta Pusat,-,-,-,-,rsutanahabang.wordpress.com,-,-6.190945,106.812241,-,,,,-
124,Duren Sawit,Rumah Sakit Umum,"Jl. Duren Sawit No. 2, Duren Sawit, Pd. Bambu",Duren Sawit,Duren Sawit,Jakarta Timur,"13430","8615555, 8628686, 8617601","8628659",,www.rsdurensawit.go.id,bludrsdurensawit@gmail.com,-6.231909,106.909378,www.rskddsedp.my03.com/statusbed/,,,,
